donor_id,first_name,last_name,email,city,total_donations,avg_donation_amount,donation_frequency,days_since_last_donation,donation_consistency,largest_donation,smallest_donation,campaigns_participated,volunteer_hours,referrals,will_donate_again
DON200614,James,King,james.king43@icloud.com,Jacksonville,42,202.26,42.0,35,0.9,332.0,122.89,4,90,4,1
DON930511,William,Campbell,william_campbell23@hotmail.com,Los Angeles,1,64.02,1.0,357,0.35,152.18,43.15,8,16,2,0
DON968679,Sandra,Thomas,sandra_thomas98@icloud.com,Indianapolis,4,79.05,3.2,456,0.23,204.1,46.31,7,54,1,0
DON568954,Helen,Davis,helen.davis62@email.com,Jacksonville,2,259.18,2.0,69,0.08,428.73,101.35,0,90,9,1
DON489638,Kenneth,Rivera,kenneth_rivera51@yahoo.com,New York,6,56.51,6.0,88,0.77,164.99,26.4,4,92,13,1
DON255699,George,Wilson,george.wilson5@gmail.com,Fort Worth,11,92.88,11.0,64,0.64,238.9,49.19,2,100,1,1
DON428025,Helen,Jones,helenjones91@gmail.com,San Antonio,15,355.32,15.0,35,0.75,683.5,232.22,7,47,11,1
DON337562,Kenneth,Gonzalez,kennethgonzalez46@hotmail.com,San Diego,1,29.32,0.53,687,0.26,58.77,9.09,1,13,9,0
DON228059,Robert,Davis,robert_davis18@hotmail.com,Boston,2,97.77,2.0,183,0.34,260.84,65.81,3,64,2,0
DON341860,Donna,Wilson,donna_wilson53@gmail.com,Dallas,1,14.91,1.0,339,0.16,42.36,6.22,8,4,4,0
DON373544,Michelle,Gonzalez,michelle_gonzalez6@outlook.com,San Jose,2,16.94,1.83,399,0.1,27.41,9.1,6,58,3,0
DON947658,Helen,Rodriguez,helen_rodriguez99@gmail.com,Detroit,6,103.82,6.0,57,0.77,296.27,31.47,9,11,15,1
DON725649,Michael,Lee,michael.lee8@icloud.com,Memphis,2,20.26,1.6,457,0.26,53.29,6.52,0,28,7,0
DON679581,Betty,Wilson,betty_wilson6@icloud.com,Las Vegas,4,71.98,4.0,120,0.6,188.29,35.49,9,93,4,1
DON741192,Jane,Young,jane_young77@outlook.com,Memphis,2,224.44,2.0,114,0.47,363.74,95.62,4,50,8,1
DON284340,Carol,Thompson,carolthompson8@yahoo.com,San Diego,10,87.06,10.0,35,0.62,193.5,52.51,3,70,2,1
DON343741,Nancy,Hall,nancyhall66@yahoo.com,Charlotte,6,201.4,6.0,92,0.69,551.12,87.18,2,87,10,1
DON927414,Charles,Rivera,charles.rivera68@outlook.com,Phoenix,4,20.64,4.0,232,0.12,46.18,6.99,7,23,11,0
DON958112,Daniel,Adams,daniel.adams64@outlook.com,San Antonio,2,128.5,2.0,201,0.08,362.85,56.38,7,55,0,1
DON248465,Mark,Lee,mark.lee56@email.com,Seattle,3,40.63,3.0,341,0.35,107.37,13.16,9,22,3,0
DON167780,Joshua,Ramirez,joshua_ramirez87@yahoo.com,San Diego,3,31.83,3.0,222,0.15,64.57,19.97,9,94,14,0
DON315920,Susan,Lopez,susan.lopez15@hotmail.com,Memphis,4,53.71,4.0,267,0.17,125.27,21.29,2,20,7,0
DON155628,Jason,Torres,jason_torres43@hotmail.com,Austin,3,78.42,3.0,287,0.55,169.94,51.29,0,52,8,0
DON416560,Kimberly,Adams,kimberly_adams8@hotmail.com,Columbus,2,92.29,2.0,354,0.17,216.74,39.01,0,15,4,0
DON725958,Emily,Hill,emily.hill60@yahoo.com,Dallas,4,101.98,4.0,334,0.36,266.94,42.12,3,59,9,1
DON410949,Susan,Garcia,susan.garcia79@outlook.com,Charlotte,5,67.16,5.0,223,0.39,154.45,28.31,3,46,0,0
DON685287,William,Smith,william_smith63@outlook.com,Seattle,4,25.3,4.0,352,0.24,54.05,10.89,5,85,7,0
DON162992,Mary,Anderson,mary_anderson2@outlook.com,San Francisco,8,102.2,8.0,121,0.8,217.77,50.85,2,70,6,1
DON458843,Thomas,Johnson,thomas_johnson31@outlook.com,Phoenix,31,161.25,31.0,17,0.71,408.37,99.13,5,40,15,1
DON994112,Emma,Rivera,emma_rivera81@icloud.com,Boston,25,554.45,25.0,60,0.93,1294.69,196.04,4,45,4,1
DON592912,Mark,Moore,mark.moore57@icloud.com,Austin,49,368.54,49.0,54,0.97,589.06,174.64,2,43,4,1
DON580037,Susan,Hall,susanhall13@gmail.com,Nashville,17,823.22,17.0,43,0.88,1304.53,300.82,10,79,1,1
DON134030,Daniel,Davis,danieldavis93@outlook.com,Columbus,5,94.31,2.6,701,0.23,234.58,38.31,7,27,14,0
DON673536,Daniel,Adams,daniel_adams22@hotmail.com,San Francisco,1,124.47,1.0,180,0.41,253.38,85.26,2,7,6,1
DON662445,Emily,Flores,emilyflores55@email.com,Houston,13,279.62,13.0,162,0.53,707.33,176.03,8,5,2,1
DON417787,Donald,Martin,donald.martin9@hotmail.com,Phoenix,2,38.95,2.0,224,0.11,80.97,12.62,0,59,12,0
DON190016,Elizabeth,Moore,elizabeth_moore62@email.com,Phoenix,5,77.55,4.99,366,0.23,220.8,25.6,10,86,10,0
DON680600,Sarah,White,sarahwhite44@hotmail.com,Chicago,3,30.35,3.0,317,0.17,80.1,17.31,9,39,13,0
DON153211,James,Scott,james_scott77@outlook.com,Phoenix,28,760.17,28.0,46,0.96,2224.86,510.02,9,61,3,1
DON271967,Matthew,Wilson,matthew_wilson96@icloud.com,Los Angeles,15,303.2,15.0,12,0.82,869.98,100.56,8,56,14,1
DON466141,David,Ramirez,david_ramirez42@yahoo.com,Seattle,33,415.19,33.0,43,0.76,783.49,189.17,7,87,4,1
DON323417,Sandra,Hill,sandrahill59@hotmail.com,Detroit,19,691.09,19.0,40,0.96,1170.4,330.05,7,85,0,1
DON218587,Michael,Brown,michaelbrown9@yahoo.com,New York,6,109.74,6.0,36,0.55,206.32,74.56,3,43,4,1
DON969317,Lisa,Allen,lisa.allen8@outlook.com,Memphis,3,142.61,3.0,330,0.52,238.5,88.18,7,64,8,1
DON358755,Robert,Wilson,robert.wilson46@gmail.com,Philadelphia,3,225.73,3.0,208,0.18,655.58,139.87,8,1,5,1
DON567918,Steven,Hernandez,steven_hernandez82@icloud.com,New York,12,229.16,12.0,51,0.77,521.57,91.51,3,42,0,1
DON680960,Ashley,Torres,ashleytorres61@hotmail.com,Houston,2,10.19,2.0,355,0.38,27.89,3.19,5,95,3,0
DON313307,George,Nelson,georgenelson96@outlook.com,Jacksonville,33,1060.55,33.0,6,0.96,2983.9,719.37,9,35,1,1
DON378547,Edward,Martinez,edward.martinez67@icloud.com,Fort Worth,6,237.87,6.0,41,0.66,571.97,152.44,5,92,5,1
DON499775,Nancy,Martin,nancymartin74@outlook.com,San Francisco,3,89.74,3.0,237,0.44,219.75,59.78,9,83,13,1
DON129685,Nancy,Garcia,nancy_garcia53@outlook.com,San Antonio,1,184.15,1.0,338,0.34,507.86,55.75,9,95,15,0
DON827220,Paul,Lewis,paul.lewis45@gmail.com,Austin,46,497.1,46.0,5,1.0,1239.79,283.79,5,67,12,1
DON832974,Ronald,Hernandez,ronald_hernandez51@yahoo.com,Fort Worth,1,28.13,0.62,590,0.27,69.64,9.88,7,100,5,0
DON631511,Emily,Garcia,emily_garcia21@email.com,Chicago,1,83.5,0.64,568,0.2,244.1,52.09,4,45,6,0
DON367955,Thomas,Nguyen,thomas_nguyen42@outlook.com,Columbus,2,53.42,2.0,119,0.52,100.82,34.19,6,65,11,1
DON389911,Linda,Lee,lindalee44@email.com,Detroit,5,20.56,5.0,113,0.38,37.18,12.01,4,19,11,1
DON934161,Sarah,Green,sarah.green20@gmail.com,Austin,3,163.08,3.0,229,0.28,298.19,105.96,1,73,1,1
DON998671,Susan,Mitchell,susanmitchell28@outlook.com,Austin,4,9.76,3.94,371,0.16,16.5,4.44,1,88,3,0
DON122450,Kevin,Thomas,kevin.thomas99@gmail.com,Portland,4,20.97,4.0,262,0.36,32.33,11.43,1,99,9,0
DON414868,Nancy,Taylor,nancytaylor61@yahoo.com,Jacksonville,46,461.38,46.0,29,0.95,1374.65,298.69,10,49,0,1
DON354435,Paul,Robinson,paul.robinson81@gmail.com,Dallas,50,610.4,50.0,5,0.9,1277.96,183.43,8,35,15,1
DON311185,Mark,Davis,mark_davis6@gmail.com,Chicago,2,136.29,2.0,178,0.34,237.01,68.88,8,46,6,0
DON530862,Kimberly,Rodriguez,kimberly.rodriguez60@email.com,Houston,4,6.78,2.94,496,0.23,18.56,3.74,7,7,12,0
DON797495,Margaret,Perez,margaretperez1@yahoo.com,Los Angeles,38,199.22,38.0,37,0.95,363.58,121.15,2,44,14,1
DON352767,Edward,Martinez,edward_martinez12@gmail.com,Seattle,15,153.43,15.0,37,0.7,313.3,77.5,10,68,15,1
DON823713,John,Brown,johnbrown76@icloud.com,Charlotte,3,155.33,3.0,321,0.04,247.93,102.76,10,16,12,0
DON626615,Margaret,Taylor,margarettaylor10@hotmail.com,Chicago,2,56.15,2.0,288,0.05,109.35,17.22,0,31,0,0
DON700814,George,Hernandez,george.hernandez18@outlook.com,Las Vegas,1,39.66,0.8,456,0.17,87.6,13.41,6,13,6,0
DON519376,Ronald,Sanchez,ronaldsanchez67@icloud.com,Denver,46,1193.37,46.0,37,0.95,2358.51,823.18,7,99,11,1
DON456329,Anthony,Flores,anthony.flores71@hotmail.com,Phoenix,3,197.69,3.0,315,0.51,379.76,130.98,2,32,2,0
DON960529,Nancy,Thomas,nancy.thomas16@gmail.com,Chicago,28,381.82,28.0,35,0.74,912.63,209.89,2,25,7,1
DON360620,Emma,Jones,emma.jones23@outlook.com,Memphis,4,45.74,3.19,458,0.0,122.83,25.06,6,48,4,0
DON641675,David,Gonzalez,david_gonzalez20@icloud.com,Indianapolis,19,211.69,19.0,37,1.0,394.57,67.06,8,17,13,1
DON402231,Emily,Thompson,emily.thompson23@icloud.com,Fort Worth,1,110.83,1.0,250,0.21,275.87,36.46,0,17,8,0
DON677150,Jennifer,Williams,jennifer_williams39@gmail.com,Las Vegas,10,433.84,10.0,155,0.58,1040.96,235.43,0,5,7,1
DON882999,Betty,Lopez,bettylopez26@yahoo.com,Portland,2,26.64,2.0,330,0.53,44.23,17.33,4,31,14,1
DON125685,Michael,Rodriguez,michael.rodriguez75@yahoo.com,Los Angeles,31,297.27,31.0,18,0.9,603.01,96.37,5,64,3,1
DON270342,Michael,Clark,michael_clark6@gmail.com,Phoenix,29,1089.12,29.0,32,0.97,2170.66,511.06,7,44,0,1
DON691745,Emily,Smith,emilysmith17@icloud.com,New York,8,69.3,8.0,159,0.73,161.5,30.51,8,92,13,1
DON594767,Kimberly,Hall,kimberlyhall76@yahoo.com,Nashville,4,111.97,4.0,295,0.37,241.37,69.13,10,34,9,0
DON860883,Jane,Walker,jane_walker6@yahoo.com,Charlotte,15,63.69,15.0,81,0.64,117.26,39.0,6,18,10,1
DON984902,Jane,Gonzalez,jane.gonzalez51@hotmail.com,Memphis,27,1189.36,27.0,24,0.78,2525.49,793.99,5,38,3,1
DON836552,Michelle,Allen,michelle.allen55@email.com,Houston,43,495.14,43.0,58,0.92,1441.59,183.66,9,33,9,1
DON683733,Anthony,Torres,anthony_torres66@yahoo.com,Las Vegas,2,125.56,2.0,332,0.02,315.89,81.56,7,33,13,1
DON346990,George,Hall,georgehall84@yahoo.com,Denver,35,845.9,35.0,44,0.82,1388.29,402.07,0,98,8,1
DON643132,Emma,Torres,emma.torres49@outlook.com,Los Angeles,1,26.66,1.0,319,0.08,41.9,16.71,1,16,4,0
DON721307,Dorothy,Scott,dorothyscott30@outlook.com,Philadelphia,2,199.65,2.0,80,0.04,462.68,108.71,4,56,12,0
DON775147,Susan,Martin,susanmartin1@email.com,San Diego,2,15.14,1.66,440,0.27,44.3,4.85,3,45,6,0
DON351913,Nancy,Young,nancy_young36@icloud.com,Phoenix,21,171.1,21.0,18,0.71,396.98,75.93,8,56,2,1
DON926058,Donna,Williams,donna.williams7@icloud.com,Denver,4,49.31,4.0,274,0.33,117.58,26.12,6,79,13,1
DON514648,Ronald,Gonzalez,ronald_gonzalez45@icloud.com,Houston,41,752.92,41.0,18,0.96,1511.78,419.68,0,41,1,1
DON486023,Michael,Moore,michaelmoore61@gmail.com,New York,5,103.75,5.0,145,0.7,194.44,44.39,0,19,0,1
DON926195,Kevin,Flores,kevinflores80@yahoo.com,Los Angeles,4,56.65,4.0,165,0.39,85.29,37.95,6,53,9,0
DON503948,Ronald,Moore,ronaldmoore62@yahoo.com,Indianapolis,4,24.49,4.0,193,0.34,64.9,9.95,9,72,15,0
DON341017,Mary,Walker,mary.walker35@outlook.com,San Diego,4,44.07,4.0,237,0.11,98.34,17.35,3,13,10,0
DON611274,Lisa,Lewis,lisa.lewis32@hotmail.com,Phoenix,2,48.74,1.6,456,0.01,145.97,24.91,4,68,10,0
DON114486,William,Gonzalez,william.gonzalez61@icloud.com,Philadelphia,4,76.76,4.0,256,0.26,182.97,37.65,4,50,9,0
DON285751,Matthew,Clark,matthew_clark37@hotmail.com,Columbus,6,57.55,6.0,104,0.6,104.37,34.78,3,74,0,1
DON257780,Robert,Hernandez,roberthernandez49@icloud.com,Dallas,23,975.62,23.0,43,0.86,2206.18,306.74,9,50,4,1
DON261694,Ronald,Clark,ronald_clark72@gmail.com,Philadelphia,4,122.53,4.0,204,0.34,348.58,81.76,10,84,10,1
DON665680,Jennifer,White,jennifer.white52@email.com,San Francisco,1,68.41,1.0,286,0.36,109.42,32.37,10,18,15,0
DON304307,Donna,Anderson,donnaanderson49@email.com,Las Vegas,36,1148.43,36.0,5,0.74,2360.46,459.78,6,92,6,1
DON718966,Sarah,Smith,sarahsmith40@email.com,Denver,14,143.16,14.0,177,0.58,300.61,83.25,1,68,14,1
DON512373,Margaret,Smith,margaret_smith54@email.com,San Antonio,2,30.18,1.84,397,0.07,50.54,11.32,1,10,15,0
DON598185,Helen,Robinson,helen.robinson46@email.com,Philadelphia,3,63.13,3.0,270,0.11,96.04,42.99,8,63,0,0
DON792854,Jason,Walker,jason.walker8@email.com,Fort Worth,2,17.88,2.0,235,0.14,50.02,11.89,2,24,11,0
DON367800,Betty,Rivera,betty.rivera57@yahoo.com,Phoenix,3,97.13,3.0,344,0.1,261.3,51.54,3,10,0,0
DON827021,Donald,Miller,donald.miller11@outlook.com,Denver,4,90.0,4.0,192,0.13,197.83,56.56,3,73,11,0
DON262479,Anthony,Adams,anthony.adams32@hotmail.com,Charlotte,4,25.64,4.0,196,0.35,73.13,12.38,1,33,6,0
DON601011,Donald,Moore,donald_moore90@gmail.com,Phoenix,5,169.84,5.0,192,0.49,434.87,85.06,5,3,13,1
DON713308,Andrew,Brown,andrew.brown14@yahoo.com,Houston,4,15.56,3.97,368,0.09,27.21,5.74,8,26,6,0
DON653633,Nancy,Ramirez,nancy.ramirez59@outlook.com,Los Angeles,18,111.45,18.0,39,0.76,205.67,47.98,0,77,11,1
DON922081,James,Nelson,james.nelson37@gmail.com,Memphis,2,107.78,2.0,362,0.37,318.56,68.54,5,99,9,0
DON174112,Jennifer,King,jennifer.king88@outlook.com,Chicago,6,42.99,6.0,83,0.59,77.38,19.56,9,22,11,1
DON653417,Kimberly,Baker,kimberly.baker63@icloud.com,San Francisco,1,53.9,0.88,417,0.35,134.21,30.47,5,4,3,0
DON721297,Donald,Baker,donald_baker36@hotmail.com,Charlotte,4,70.25,2.54,575,0.39,129.06,42.58,0,55,11,0
DON498284,Sarah,Hall,sarahhall55@icloud.com,Houston,2,30.76,2.0,59,0.19,46.82,19.27,1,59,15,0
DON385380,Mark,Harris,mark_harris23@hotmail.com,Nashville,32,374.31,32.0,11,0.9,1097.87,259.04,2,35,0,1
DON870576,Jane,Wilson,janewilson39@email.com,Portland,3,33.31,3.0,280,0.28,86.45,18.23,4,97,3,0
DON621811,Kenneth,Hall,kenneth_hall27@icloud.com,Phoenix,1,15.49,0.9,404,0.1,34.11,9.81,5,33,5,0
DON749450,Jane,Sanchez,jane.sanchez34@hotmail.com,Dallas,2,27.8,2.0,340,0.21,82.61,13.34,2,16,14,0
DON266163,Lisa,Anderson,lisaanderson16@yahoo.com,Portland,21,500.2,21.0,54,1.0,761.24,304.62,8,85,15,1
DON779316,Nancy,Torres,nancy_torres34@outlook.com,Memphis,2,60.16,2.0,236,0.4,175.95,34.86,0,2,14,0
DON557951,Robert,White,robert.white5@gmail.com,San Antonio,3,52.45,3.0,82,0.02,147.35,20.62,6,58,2,0
DON616249,Margaret,Scott,margaretscott32@yahoo.com,Detroit,5,37.51,5.0,227,0.39,88.66,25.52,8,95,3,1
DON582210,Daniel,Lopez,daniellopez86@email.com,Fort Worth,5,111.83,5.0,342,0.51,329.37,41.18,6,24,3,1
DON468828,George,Jackson,george_jackson43@outlook.com,San Jose,2,150.7,2.0,300,0.3,323.34,67.67,2,25,9,0
DON434286,Susan,Hill,susanhill74@email.com,Las Vegas,3,47.93,3.0,294,0.34,72.5,19.71,8,47,6,0
DON954986,Kenneth,Baker,kennethbaker94@email.com,Seattle,2,34.22,1.62,451,0.12,67.92,19.37,2,59,12,0
DON166640,Robert,Robinson,robert_robinson49@icloud.com,Phoenix,13,267.65,13.0,122,0.67,529.31,118.44,10,78,8,1
DON207326,Jason,Lewis,jasonlewis34@email.com,Indianapolis,3,64.72,3.0,162,0.35,159.58,21.0,9,88,7,1
DON753104,Karen,Harris,karenharris29@gmail.com,Nashville,3,34.87,2.47,444,0.24,79.04,12.4,9,3,5,0
DON188306,David,Nguyen,davidnguyen95@icloud.com,San Jose,2,15.55,1.48,493,0.0,25.56,5.23,8,47,11,0
DON997701,Emily,Lee,emily.lee58@icloud.com,Los Angeles,30,553.28,30.0,24,0.91,1340.71,239.42,1,59,14,1
DON753099,Edward,Wright,edward.wright52@yahoo.com,Columbus,24,432.45,24.0,51,0.97,938.35,231.25,7,77,1,1
DON325154,Donald,Lee,donald.lee9@outlook.com,Detroit,1,92.84,1.0,51,0.44,239.85,33.48,1,7,6,0
DON486162,Timothy,Garcia,timothygarcia76@hotmail.com,Dallas,43,637.87,43.0,40,0.94,975.14,442.43,10,77,1,1
DON391848,Edward,Martinez,edward_martinez95@email.com,San Francisco,7,99.04,7.0,105,0.51,192.1,60.22,10,90,5,1
DON883299,George,Lopez,george.lopez86@yahoo.com,Seattle,32,1280.66,32.0,55,0.84,3201.53,887.19,10,31,8,1
DON368238,Lisa,Lewis,lisa.lewis41@outlook.com,Boston,2,96.61,2.0,263,0.38,173.77,41.46,1,96,5,0
DON720166,David,Walker,david_walker25@icloud.com,Seattle,1,46.78,1.0,341,0.01,117.01,28.22,8,40,5,0
DON858765,Carol,Brown,carol.brown83@hotmail.com,Austin,9,68.15,9.0,57,0.72,195.36,21.82,0,11,13,1
DON693486,Andrew,Wright,andrew.wright63@hotmail.com,Portland,5,33.49,5.0,269,0.33,80.26,21.48,0,27,9,0
DON929522,Jason,White,jason.white58@icloud.com,New York,2,25.28,2.0,120,0.55,38.45,9.05,3,66,8,1
DON355406,Dorothy,Hall,dorothyhall45@yahoo.com,Chicago,14,303.05,14.0,100,0.68,597.19,185.2,9,55,6,1
DON411659,Dorothy,Baker,dorothy.baker71@yahoo.com,Detroit,7,287.38,7.0,169,0.59,731.75,149.36,2,86,3,1
DON495441,Thomas,Perez,thomas_perez91@icloud.com,Jacksonville,2,123.79,1.33,547,0.16,256.39,45.12,1,46,4,0
DON404642,Nancy,Rivera,nancy.rivera33@email.com,Austin,4,25.47,4.0,311,0.28,59.83,8.06,8,64,2,0
DON898663,Elizabeth,Rivera,elizabeth_rivera40@gmail.com,San Antonio,4,157.3,4.0,145,0.49,331.23,80.17,9,38,0,1
DON408638,Jane,Mitchell,jane.mitchell64@icloud.com,Las Vegas,4,51.64,4.0,322,0.03,83.96,28.53,0,56,7,0
DON893147,William,Gonzalez,williamgonzalez33@gmail.com,Jacksonville,4,71.1,3.73,391,0.2,123.15,30.44,8,73,5,0
DON277183,Mark,Moore,mark.moore48@email.com,Seattle,5,244.5,5.0,74,0.64,469.3,89.22,5,2,5,1
DON917120,James,Scott,james.scott73@hotmail.com,San Diego,27,936.06,27.0,34,0.81,2433.3,432.46,5,88,8,1
DON591716,Ashley,Young,ashley.young24@outlook.com,Houston,18,571.48,18.0,47,0.87,1185.22,338.99,9,16,12,1
DON701631,Joshua,Brown,joshua.brown77@icloud.com,Los Angeles,22,337.69,22.0,12,0.75,854.11,217.87,6,13,7,1
DON714796,Ashley,King,ashley.king20@gmail.com,Indianapolis,14,184.17,14.0,167,0.7,437.08,61.44,8,9,6,1
DON114078,Anthony,Harris,anthonyharris5@yahoo.com,Columbus,4,45.81,3.02,483,0.3,125.96,17.96,5,99,11,0
DON945573,Paul,Thompson,paul.thompson58@yahoo.com,Seattle,15,165.85,15.0,92,0.6,340.25,82.51,6,53,7,1
DON600510,Linda,Harris,linda_harris53@hotmail.com,Houston,3,67.63,3.0,251,0.08,199.35,40.61,2,66,10,0
DON587954,Jason,Jackson,jason.jackson40@hotmail.com,Seattle,25,263.91,25.0,16,0.72,619.76,100.18,4,15,10,1
DON858088,Lisa,Campbell,lisacampbell93@outlook.com,New York,20,141.28,20.0,29,0.82,221.72,70.58,9,98,6,1
DON463029,Paul,Allen,paul.allen75@gmail.com,Austin,32,940.72,32.0,8,0.83,2756.81,364.23,6,56,6,1
